atasozu;kullanim_alani
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Ahlâk kapýsý açýlmadan gönül kapýsý açýlmaz.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Ahlak olmayýnca ilim yük olur.;ahlak
Güzel söz, güzel ahlâkýn aynasýdýr.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Yüzün gülüyorsa, kalbin de temiz olmalý.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Ýyilik gizli yapýlýnca deðerlidir.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Gönlü güzel olanýn, davranýþý da güzeldir.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Ahlâk, insanýn görünmeyen süsüdür.;ahlak
Haksýzlýkla büyüyen, yýkýlarak küçülür.;ahlak
Edep olmazsa ilim þaþar.;ahlak
Doðruluk dilde deðil, ahlâkta saklýdýr.;ahlak
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Öðretmen kandil gibidir, kendini yakar yol gösterir.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Bilgi ekilmeyen tarlada cehalet büyür.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Soran kaybolmaz, öðrenen yorulmaz.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Okumak zordur ama cehaletin yükü daha aðýrdýr.;eðitim
Eðitim bir ýþýktýr, yolunu bulan yanar.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgisiz büyüyen, köksüz aðaç gibidir.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Defteri olan deðil, dersi anlayan kazanýr.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
Bilgiyle beslenmeyen akýl, unutkanlýða düþer.;eðitim
Öðretmek sadakadýr, ömür boyu sürer.;eðitim
Kalem kýlýçtan keskindir, yeter ki tutulmasýný bil.;eðitim
